Title,Publication Date,Link,Snippet,Source ID,Country Code,API Source
Commentary: The ‘Wicked’ gatecrasher got a jail sentence. Good.,2025-11-17 15:34:55,https://mothership.sg/2025/11/charge-wicked-gatecrasher-thank-goodness/,ONLY AVAILABLE IN PAID PLANS,mothership,SG,newsdata.io
Crazed fan who charged at Ariana Grande on Wicked red carpet gets JAIL time,2025-11-17 15:22:14,https://www.dailymail.co.uk/tvshowbiz/article-15298865/Ariana-Grande-fan-Wicked-jail-time.html,ONLY AVAILABLE IN PAID PLANS,dailymailuk,SG,newsdata.io
"Australian man, 26, who grabbed Ariana Grande at S'pore 'Wicked' premiere, gets 9 days' jail",2025-11-17 11:42:31,https://mothership.sg/2025/11/johnson-wen-jail-singapore/,ONLY AVAILABLE IN PAID PLANS,mothership,SG,newsdata.io
'Attention-seeking' Aussie influencer wannabe who rushed Ariana Grande at Wicked premiere is jailed for nine days,2025-11-17 10:57:06,https://www.dailymail.co.uk/news/article-15297929/Attention-seeking-Aussie-influencer-wannabe-rushed-Ariana-Grande-Wicked-premiere-jailed.html,ONLY AVAILABLE IN PAID PLANS,dailymailuk,SG,newsdata.io
987FM draws fire for giving Ariana Grande and Cynthia Erivo alleged AI 'younger selves' photos,2025-11-17 09:58:06,https://www.stomp.sg/trending-now/987fm-draws-fire-giving-ariana-grande-and-cynthia-erivo-alleged-ai-younger-selves,ONLY AVAILABLE IN PAID PLANS,stomp,SG,newsdata.io
One man’s selfishness at Wicked event cost S’pore its reputation – and possibly an Ariana Grande concert - The Straits Times,2025-11-17 09:17:28,https://news.google.com/rss/articles/CBMi1wFBVV95cUxQS2hiQnctdms0cE5hOTlyNkRhYUlqdlE2TGdXcXlZOTZQWUdFU2NvRUUwdHZmQ2puMmh1bFJ0bU5rX010LWpram1GUVRjVkltRUVyeTJYTkxfVlljMF9scDRrUGNwRlRFdlNqbThLZTY1Z09NcmxUQWhQUlFIR2trLTFtb09JakxUNXkxZHd6OV9Tanh0Tk04YkdIbVBwcVFqS3VfNVdmTDR1R3ZhU1VXWlJicFZxYThDdEg4TUNERUlmRHFIUTJpNm94U1dsZVRnLW5ndGs3WQ?oc=5,ONLY AVAILABLE IN PAID PLANS,google,SG,newsdata.io
One man’s selfishness at Wicked event cost S’pore its reputation – and possibly an Ariana Grande concert,2025-11-17 09:15:00,https://www.straitstimes.com/life/entertainment/one-mans-selfishness-at-wicked-event-cost-spore-its-reputation-and-possibly-an-ariana-grande,ONLY AVAILABLE IN PAID PLANS,straitstimes,SG,newsdata.io
Ariana Grande incident: Australian serial intruder jailed nine days in Singapore,2025-11-17 08:24:20,https://www.malaymail.com/news/singapore/2025/11/17/ariana-grande-incident-australian-serial-intruder-jailed-nine-days-in-singapore/198710,ONLY AVAILABLE IN PAID PLANS,malaymail,SG,newsdata.io
Man who rushed at Ariana Grande at Universal Studios Singapore sentenced to 9 days’ jail,2025-11-17 07:14:52,https://www.straitstimes.com/singapore/courts-crime/man-who-rushed-at-ariana-grande-at-universal-studios-singapore-sentenced-to-9-days-jail,ONLY AVAILABLE IN PAID PLANS,straitstimes,SG,newsdata.io
Barricade jumper who rushed at Ariana Grande at Singapore event given 9 days' jail for public nuisance - CNA,2025-11-17 07:13:54,https://news.google.com/rss/articles/CBMiqgFBVV95cUxNY05wTEEtS1pPTU1ScXp0bVUwamVPd2lIRXM0TC1RSFhVU24xaW80MFlPQ3RWX0Z0dUJXZ21hSmFZaFdJOVJFLVRfT0FOSVRiTEVBb05rWU8xdXJSOTliZUJ4Y0MzVy1tQklqN1B4a3g0ZHU5TjJWUFE2UGx4VWk5NXBRYndfUlM0YjRmM0Q3VC1QMjBhSFZ5UHN2dUJkQzNiVkl2RERXUkJKUQ?oc=5,ONLY AVAILABLE IN PAID PLANS,google,SG,newsdata.io
Barricade jumper who rushed at Ariana Grande at Singapore event given 9 days' jail for public nuisance,2025-11-17 07:13:00,https://www.channelnewsasia.com/singapore/barricade-jump-johnson-wen-troll-sentenced-ariana-grande-5471586,ONLY AVAILABLE IN PAID PLANS,channelnewsasia,SG,newsdata.io
